Região Geográfica,UF,Regional de Saúde,Município,Código IBGE,Tipo da Instituição,Sigla da Instituição,Nome da Instiuição,Nome do escritório regional/local,CNPJ do escritório regional/local,Tipo da Forma de Abastecimento,Código Forma de abastecimento,Nome da Forma de Abastecimento,Nome da ETA/UTA,Ano de referência,Tipo de captação,Categoria do manancial superficial,Nome do manancial superficial,Categoria do ponto de captação subterrâneo,Nome do ponto de captação subterrâneo,Outorga,Latitude,Longitude,Vazão,Latitude_corrigida,Longitude_corrigida
SUL,RS,6ª CRS,SANANDUVA,431660,Regional,CORSAN,COMPANHIA RIOGRANDENSE DE SANEAMENTO,SUPERINTENDENCIA REGIONAL PLANALTO SURPLA,92802784036380.0,SAA,S431660000001,SANANDUVA,ETA DE SANANDUVA,2024,SUPERFICIAL,rio,RIO FORQUILHA OU INHANDUVA,,,S,"-27,96125","-51,808022",31.88,-27.96125,-51.808022
SUL,RS,8ª CRS,ENCRUZILHADA DO SUL,430690,Regional,CORSAN,COMPANHIA RIOGRANDENSE DE SANEAMENTO,SUPERINTENDENCIA REGIONAL PAMPA SURPA,92802784005744.0,SAA,S430690000001,ENCRUZILHADA DO SUL,ETA DE ENCRUZILHADA DO SUL,2024,SUPERFICIAL,arroio,RONDINHA,,,S,"-30,5499979","-52,4963746",43.62,-30.5499979,-52.4963746
SUL,RS,2ª CRS,ERVAL SECO,430730,Regional,CORSAN,COMPANHIA RIOGRANDENSE DE SANEAMENTO,SUPERINTENDENCIA REGIONAL PLANALTO SURPLA,92802784036380.0,SAA,S430730000001,ERVAL SECO,ETA DE ERVAL SECO,2024,SUPERFICIAL,arroio,LAMBEDOR,,,S,"-27,5546978","-53,5013307",11.9,-27.5546978,-53.5013307
SUL,RS,3ª CRS,RIO GRANDE,431560,Regional,CORSAN,COMPANHIA RIOGRANDENSE DE SANEAMENTO,SUPERINTENDENCIA REGIONAL SUL SURSUL,92802784036461.0,SAA,S431560000001,RIO GRANDE,ETA DE RIO GRANDE,2024,SUPERFICIAL,canal,CANAL DE SAO GONCALO,,,S,"-32,0542","-52,3725",777.0,-32.0542,-52.3725
SUL,RS,3ª CRS,RIO GRANDE,431560,Regional,CORSAN,COMPANHIA RIOGRANDENSE DE SANEAMENTO,SUPERINTENDENCIA REGIONAL SUL SURSUL,92802784036461.0,SAA,S431560000001,RIO GRANDE,ETA DE RIO GRANDE,2024,SUPERFICIAL,arroio,VIEIRA,,,S,"-32,0541635","-52,3724921",777.35,-32.0541635,-52.3724921
SUL,RS,1ª CRS,CHARQUEADAS,430535,Regional,CORSAN,COMPANHIA RIOGRANDENSE DE SANEAMENTO,SUPERINTENDENCIA REGIONAL METROPOLITANA SURMET,92802784036976.0,SAA,S430535000001,CHARQUEADAS,ETA DE CHARQUEADAS,2024,SUPERFICIAL,rio,RIO JACUI,,,S,"-29,9519605","-51,6219979",271.18,-29.9519605,-51.6219979
SUL,RS,7ª CRS,DOM PEDRITO,430660,Regional,CORSAN,COMPANHIA RIOGRANDENSE DE SANEAMENTO,SUPERINTENDENCIA REGIONAL PAMPA SURPA,92802784005744.0,SAA,S430660000001,DOM PEDRITO,ETA DE DOM PEDRITO,2024,SUPERFICIAL,barragem,BARRAGEM DA SERRINHA,,,S,"-30,9764605","-54,6194244",51.32,-30.9764605,-54.6194244
SUL,RS,7ª CRS,DOM PEDRITO,430660,Regional,CORSAN,COMPANHIA RIOGRANDENSE DE SANEAMENTO,SUPERINTENDENCIA REGIONAL PAMPA SURPA,92802784005744.0,SAA,S430660000001,DOM PEDRITO,ETA DE DOM PEDRITO,2024,SUPERFICIAL,rio,RIO SANTA MARIA,,,S,"-30,9952694","-54,6865632",51.32,-30.9952694,-54.6865632
SUL,RS,9ª CRS,SALTO DO JACUI,431645,Regional,CORSAN,COMPANHIA RIOGRANDENSE DE SANEAMENTO,SUPERINTENDENCIA REGIONAL MISSOES SURMIS,92802784036623.0,SAA,S431645000001,SALTO DO JACUÍ,ETA DE SALTO DO JACUÍ,2024,SUPERFICIAL,rio,RIO JACUI,,,N,"-29,075744","-53,210586",27.0,-29.075744,-53.210586
SUL,RS,18ª CRS,CIDREIRA,430545,Regional,CORSAN,COMPANHIA RIOGRANDENSE DE SANEAMENTO,SUPERINTENDENCIA REGIONAL LITORAL SURLIT,92802784036704.0,SAA,S430545000001,CIDREIRA,ETA DE CIDREIRA,2024,SUPERFICIAL,lagoa,DA FORTALEZA,,,S,"-30,1578843","-50,2359432",167.17,-30.1578843,-50.2359432
